lang,url,stars,description
C,https://github.com/Mbed-TLS/mbedtls,"5,144","An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases."
C,https://github.com/libAudioFlux/audioFlux,"2,648","A library for audio and music analysis, feature extraction."
C,https://github.com/strongswan/strongswan,"2,194",strongSwan - IPsec-based VPN
C,https://github.com/valkey-io/valkey,"15,100",A flexible distributed key-value datastore that supports both caching and beyond caching workloads.
C,https://github.com/RfidResearchGroup/proxmark3,"3,712",Iceman Fork - Proxmark3
C,https://github.com/zephyrproject-rtos/zephyr,"10,300","Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures."
C,https://github.com/bytecodealliance/wasm-micro-runtime,"4,742",WebAssembly Micro Runtime (WAMR)
C,https://github.com/fluent/fluent-bit,"5,613","Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows"
C,https://github.com/haproxy/haproxy,"4,724",HAProxy Load Balancer's development branch (mirror of git.haproxy.org)
C,https://github.com/tianocore/edk2-platforms,538,EDK II sample platform branches and tags
C,https://github.com/pgvector/pgvector,"11,179",Open-source vector similarity search for Postgres
C,https://github.com/openwall/john,"9,844","John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs"
C,https://github.com/hathach/tinyusb,"4,769",An open source cross-platform USB stack for embedded system
C,https://github.com/FRRouting/frr,"3,162",The FRRouting Protocol Suite
C,https://github.com/henrypp/simplewall,"5,912",Simple tool to configure Windows Filtering Platform (WFP) which can configure network activity on your computer.
C,https://github.com/ThrowTheSwitch/Unity,"3,937",Simple Unit Testing for C
C,https://github.com/SanderMertens/flecs,"6,103",A fast entity component system (ECS) for C & C++
C,https://github.com/coturn/coturn,"10,980",coturn TURN server project
C,https://github.com/mit-pdos/xv6-public,"7,689",xv6 OS
C,https://github.com/eclipse/mosquitto,"8,798",Eclipse Mosquitto - An open source MQTT broker
