lang,url,stars,description
JS,https://github.com/prabathLK/PRABATH-MD,"1,123",🇱🇰 Multi-device whatsapp bot 🎉
JS,https://github.com/appium/appium,"18,246","Cross-platform automation framework for all kinds of apps, built on top of the W3C WebDriver protocol"
JS,https://github.com/shaka-project/shaka-player,"6,934",JavaScript player library / DASH & HLS client / MSE-EME player
JS,https://github.com/openwrt/luci,"6,066",LuCI - OpenWrt Configuration Interface
JS,https://github.com/paulmillr/chokidar,"10,694",Minimal and efficient cross-platform file watching library
JS,https://github.com/bpmn-io/bpmn-js,"8,341",A BPMN 2.0 rendering toolkit and web modeler.
JS,https://github.com/songquanpeng/one-api,"16,054","OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2 & Gemini、智谱 ChatGLM、百度文心一言、讯飞星火认知、阿里通义千问、360 智脑以及腾讯混元，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI."
JS,https://github.com/react-grid-layout/react-grid-layout,"19,791","A draggable and resizable grid layout with responsive breakpoints, for React."
JS,https://github.com/adrianhajdin/project_3D_developer_portfolio,"5,417",The most impressive websites in the world use 3D graphics and animations to bring their content to life. Learn how to build your own ThreeJS 3D Developer Portfolio today!
JS,https://github.com/TheOdinProject/curriculum,"9,088",The open curriculum for learning web development
JS,https://github.com/tangly1024/NotionNext,"6,523","使用 NextJS + Notion API 实现的，支持多种部署方案的静态博客，无需服务器、零门槛搭建网站，为Notion和所有创作者设计。 (A static blog built with NextJS and Notion API, supporting multiple deployment options. No server required, zero threshold to set up a website. Designed for Notion and all creators.)"
JS,https://github.com/poteto/hiring-without-whiteboards,"42,859",⭐️ Companies that don't have a broken hiring process
JS,https://github.com/SuhailTechInfo/Suhail-Md,"3,857","meet Suhail-Md, Your All-in-One WhatsApp Excitement Buddy! Enjoy a thrilling messaging experience like never before. Suhail-Md brings a world of excitement and joy to your chats ✨🤖"
JS,https://github.com/NaiboWang/EasySpider,"29,189",A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。
JS,https://github.com/awslabs/llrt,"7,767","LLRT (Low Latency Runtime) is an experimental, lightweight JavaScript runtime designed to address the growing demand for fast and efficient Serverless applications."
JS,https://github.com/facebook/react,"225,034",The library for web and native user interfaces.
JS,https://github.com/blackmatrix7/ios_rule_script,"16,337",分流规则、重写写规则及脚本。
JS,https://github.com/SocialSisterYi/bilibili-API-collect,"13,817",哔哩哔哩-API收集整理【不断更新中....】
JS,https://github.com/31b4/Leetcode-Premium-Bypass,"3,238",Leetcode Premium Unlocker 2024
JS,https://github.com/nodejs/node,"105,206",Node.js JavaScript runtime ✨🐢🚀✨
JS,https://github.com/kleampa/not-paid,"14,057",Client did not pay? Add opacity to the body tag and decrease it every day until their site completely fades away
JS,https://github.com/brave/brave-browser,"16,992","Brave browser for Android, iOS, Linux, macOS, Windows."
JS,https://github.com/Mintplex-Labs/anything-llm,"16,987",The all-in-one Desktop & Docker AI application with full RAG and AI Agent capabilities.
JS,https://github.com/HeyPuter/puter,"21,002","🌐 The Web OS! Free, Open-Source, and Self-Hostable."
JS,https://github.com/chartjs/Chart.js,"63,916",Simple HTML5 Charts using the <canvas> tag
JS,https://github.com/Leaflet/Leaflet,"40,514",🍃 JavaScript library for mobile-friendly interactive maps 🇺🇦
JS,https://github.com/PipedreamHQ/pipedream,"8,524","Connect APIs, remarkably fast. Free for developers."
