lang,url,stars,description
C,https://github.com/Genymobile/scrcpy,"108,239",Display and control your Android device
C,https://github.com/EpicGamesExt/raddebugger,"3,245","A native, user-mode, multi-process, graphical debugger."
C,https://github.com/remzi-arpacidusseau/ostep-code,"3,302",Code from various chapters in OSTEP (http://www.ostep.org)
C,https://github.com/erincatto/box2d,"8,028",Box2D is a 2D physics engine for games
C,https://github.com/facebook/zstd,"23,104",Zstandard - Fast real-time compression algorithm
C,https://github.com/BitMaker-hub/NerdMiner_v2,"1,480",Improved version of first ESP32 NerdMiner
C,https://github.com/betaflight/betaflight,"8,359",Open Source Flight Controller Firmware
C,https://github.com/espeak-ng/espeak-ng,"4,011",eSpeak NG is an open source speech synthesizer that supports more than hundred languages and accents.
C,https://github.com/AOMediaCodec/libavif,"1,496",libavif - Library for encoding and decoding .avif files
C,https://github.com/pgvector/pgvector,"11,494",Open-source vector similarity search for Postgres
C,https://github.com/open5gs/open5gs,"1,740","Open5GS is a C-language Open Source implementation for 5G Core and EPC, i.e. the core network of LTE/NR network (Release-17)"
C,https://github.com/CANopenNode/CANopenNode,"1,413",CANopen protocol stack
C,https://github.com/NVIDIA/cuda-samples,"5,985",Samples for CUDA Developers which demonstrates features in CUDA Toolkit
C,https://github.com/confluentinc/librdkafka,106,The Apache Kafka C/C++ library
C,https://github.com/redis/redis,"66,132","Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
C,https://github.com/pocoproject/poco,"8,192","The POCO C++ Libraries are powerful cross-platform C++ libraries for building network- and internet-based applications that run on desktop, server, mobile, IoT, and embedded systems."
C,https://github.com/karpathy/llama2.c,"17,091",Inference Llama 2 in one file of pure C
C,https://github.com/OpenVPN/openvpn,"10,572",OpenVPN is an open source VPN daemon
C,https://github.com/microsoft/msquic,"3,998","Cross-platform, C implementation of the IETF QUIC protocol, exposed to C, C++, C# and Rust."
C,https://github.com/brunodev85/winlator,"7,587",Android application for running Windows applications with Wine and Box86/Box64
C,https://github.com/ptitSeb/box64,"3,624","Box64 - Linux Userspace x86_64 Emulator with a twist, targeted at ARM64 Linux devices"
C,https://github.com/sandboxie-plus/Sandboxie,"13,404",Sandboxie Plus & Classic
C,https://github.com/nmap/nmap,"9,836",Nmap - the Network Mapper. Github mirror of official SVN repository.
C,https://github.com/nothings/stb,"26,212",stb single-file public domain libraries for C/C++
C,https://github.com/radareorg/radare2,"20,267",UNIX-like reverse engineering framework and command-line toolset
C,https://github.com/BandarHL/BHTwitter,"1,792",Awesome tweak for Twitter
C,https://github.com/openwall/john,"9,949","John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs"
C,https://github.com/libsdl-org/SDL,"9,263",Simple Directmedia Layer
C,https://github.com/libuv/libuv,"23,860",Cross-platform asynchronous I/O
C,https://github.com/zephyrproject-rtos/zephyr,"10,390","Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures."
C,https://github.com/apache/nuttx,"2,593","Apache NuttX is a mature, real-time embedded operating system (RTOS)"
C,https://github.com/ggerganov/whisper.cpp,"34,092",Port of OpenAI's Whisper model in C/C++
C,https://github.com/arthenica/ffmpeg-kit,"4,248","FFmpeg Kit for applications. Supports Android, Flutter, iOS, Linux, macOS, React Native and tvOS. Supersedes MobileFFmpeg, flutter_ffmpeg and react-native-ffmpeg."
C,https://github.com/valinet/ExplorerPatcher,"23,575",This project aims to enhance the working environment on Windows
C,https://github.com/open-quantum-safe/liboqs,"1,746",C library for prototyping and experimenting with quantum-resistant cryptography
C,https://github.com/DPDK/dpdk,"3,250",Data Plane Development Kit
C,https://github.com/jemalloc/jemalloc,"9,362",
C,https://github.com/ventoy/Ventoy,"61,387",A new bootable USB solution.
C,https://github.com/skeeto/endlessh,"7,112",SSH tarpit that slowly sends an endless banner
C,https://github.com/lvgl/lvgl,"16,019","Embedded graphics library to create beautiful UIs for any MCU, MPU and display type."
C,https://github.com/microsoft/Windows-driver-samples,"6,843",This repo contains driver samples prepared for use with Microsoft Visual Studio and the Windows Driver Kit (WDK). It contains both Universal Windows Driver and desktop-only driver samples.
C,https://github.com/meetecho/janus-gateway,"8,113",Janus WebRTC Server
C,https://github.com/OpenMathLib/OpenBLAS,"6,245",OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version.
C,https://github.com/OpenEtherCATsociety/SOEM,"1,291",Simple Open Source EtherCAT Master
C,https://github.com/OISF/suricata,"4,418","Suricata is a network Intrusion Detection System, Intrusion Prevention System and Network Security Monitoring engine developed by the OISF and the Suricata community."
C,https://github.com/eclipse/mosquitto,"8,837",Eclipse Mosquitto - An open source MQTT broker
C,https://github.com/ffmpegwasm/ffmpeg.wasm,"13,961","FFmpeg for browser, powered by WebAssembly"
C,https://github.com/libgit2/libgit2,"9,582","A cross-platform, linkable library implementation of Git that you can use in your application."
C,https://github.com/openssl/openssl,"25,300",TLS/SSL and crypto library
C,https://github.com/RubyMetric/chsrc,"2,140",chsrc 全平台通用换源工具与框架. Change Source for every software on every platform from the command line.
C,https://github.com/pjsip/pjproject,"1,988",PJSIP project
C,https://github.com/cloudwu/skynet,"13,203",A lightweight online game framework
C,https://github.com/timescale/timescaledb,"17,363",An open-source time-series SQL database optimized for fast ingest and complex queries. Packaged as a PostgreSQL extension.
C,https://github.com/RediSearch/RediSearch,"5,416","A query and indexing engine for Redis, providing secondary indexing, full-text search, vector similarity search and aggregations."
C,https://github.com/tianocore/edk2,"4,504",EDK II
C,https://github.com/microsoft/ebpf-for-windows,"2,809",eBPF implementation that runs on top of Windows
C,https://github.com/u-boot/u-boot,"3,884","""Das U-Boot"" Source Tree"
C,https://github.com/cockpit-project/cockpit,"10,887",Cockpit is a web-based graphical interface for servers.
C,https://github.com/NVIDIA/open-gpu-kernel-modules,"14,987",NVIDIA Linux open GPU kernel module source
C,https://github.com/systemd/systemd,"12,999",The systemd System and Service Manager
C,https://github.com/lz4/lz4,"10,193",Extremely Fast Compression algorithm
C,https://github.com/qmk/qmk_firmware,"17,929",Open-source keyboard firmware for Atmel AVR and Arm USB families
C,https://github.com/openwrt/openwrt,"19,477",This repository is a mirror ofhttps://git.openwrt.org/openwrt/openwrt.gitIt is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
C,https://github.com/libevent/libevent,"11,032",Event notification library
C,https://github.com/git/git,"51,603",Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
C,https://github.com/bol-van/zapret,"5,581",DPI bypass multi platform
C,https://github.com/ValdikSS/GoodbyeDPI,"22,271",GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows)
