lang,url,stars,description
C,https://github.com/jart/cosmopolitan,"17,445",build-once run-anywhere c library
C,https://github.com/AFLplusplus/AFLplusplus,"4,865","The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!"
C,https://github.com/brunodev85/winlator,"7,072",Android application for running Windows applications with Wine and Box86/Box64
C,https://github.com/VirusTotal/yara,"7,970",The pattern matching swiss knife
C,https://github.com/libgit2/libgit2,"9,532","A cross-platform, linkable library implementation of Git that you can use in your application."
C,https://github.com/sonic-net/sonic-buildimage,706,Scripts which perform an installable binary image build for SONiC
C,https://github.com/valkey-io/valkey,"14,848",A flexible distributed key-value datastore that supports both caching and beyond caching workloads.
C,https://github.com/Mbed-TLS/mbedtls,"5,100","An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases."
C,https://github.com/littlefs-project/littlefs,"4,955",A little fail-safe filesystem designed for microcontrollers
C,https://github.com/nanopb/nanopb,"4,210",Protocol Buffers with small code size
C,https://github.com/Cyan4973/xxHash,"8,782",Extremely fast non-cryptographic hash algorithm
C,https://github.com/ttttupup/wxhelper,"2,000",Hook WeChat / 微信逆向
C,https://github.com/eclipse/mosquitto,"8,708",Eclipse Mosquitto - An open source MQTT broker
C,https://github.com/open62541/open62541,"2,510",Open source implementation of OPC UA (OPC Unified Architecture) aka IEC 62541 licensed under Mozilla Public License v2.0
C,https://github.com/olikraus/u8g2,"4,938","U8glib library for monochrome displays, version 2"
C,https://github.com/Klipper3d/klipper,"9,099",Klipper is a 3d-printer firmware
C,https://github.com/spdk/spdk,"2,959",Storage Performance Development Kit
C,https://github.com/open-quantum-safe/liboqs,"1,701",C library for prototyping and experimenting with quantum-resistant cryptography
C,https://github.com/timescale/timescaledb,"16,946",An open-source time-series SQL database optimized for fast ingest and complex queries. Packaged as a PostgreSQL extension.
C,https://github.com/karpathy/llama2.c,"16,929",Inference Llama 2 in one file of pure C
C,https://github.com/xemu-project/xemu,"2,626","Original Xbox Emulator for Windows, macOS, and Linux (Active Development)"
C,https://github.com/pymumu/smartdns,"8,044","A local DNS server to obtain the fastest website IP for the best Internet experience, support DoT, DoH. 一个本地DNS服务器，获取最快的网站IP，获得最佳上网体验，支持DoH，DoT。"
C,https://github.com/DaveGamble/cJSON,"10,405",Ultralightweight JSON parser in ANSI C
C,https://github.com/freebsd/freebsd-src,"7,672",The FreeBSD src tree publish-only repository. Experimenting with 'simple' pull requests....
C,https://github.com/Genymobile/scrcpy,"106,346",Display and control your Android device
C,https://github.com/wazuh/wazuh,"9,795",Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.
C,https://github.com/coolsnowwolf/lede,"29,280",Lean's LEDE source
C,https://github.com/taosdata/TDengine,"23,075","TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps."
C,https://github.com/ValdikSS/GoodbyeDPI,"11,161",GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows)
C,https://github.com/openssl/openssl,"25,054",TLS/SSL and crypto library
C,https://github.com/yugabyte/yugabyte-db,"8,682",YugabyteDB - the cloud native distributed SQL database for mission-critical applications.
C,https://github.com/grafana/pyroscope,"9,695",Continuous Profiling Platform. Debug performance issues down to a single line of code
C,https://github.com/viti95/FastDoom,459,"Doom port for DOS, optimized to be as fast as possible!"
C,https://github.com/wechat-miniprogram/minigame-unity-webgl-transform,"2,824",Wechat Mini Game Unity engine adapter documents.
C,https://github.com/tianocore/edk2,"4,426",EDK II
C,https://github.com/mit-pdos/xv6-riscv,"6,661",Xv6 for RISC-V
C,https://github.com/neutrinolabs/xrdp,"5,491",xrdp: an open source RDP server
C,https://github.com/radareorg/radare2,"20,061",UNIX-like reverse engineering framework and command-line toolset
