lang,url,stars,description
C,https://github.com/obsproject/obs-studio,"57,384",OBS Studio - Free and open source software for live streaming and screen recording
C,https://github.com/wazuh/wazuh,"9,672",Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.
C,https://github.com/fluent/fluent-bit,"5,541","Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows"
C,https://github.com/enjoy-digital/litex,"2,791","Build your hardware, easily!"
C,https://github.com/zmkfirmware/zmk,"2,499",ZMK Firmware Repository
C,https://github.com/nrfconnect/sdk-nrf,879,nRF Connect SDK main repository
C,https://github.com/yugabyte/yugabyte-db,"8,656",YugabyteDB - the cloud native distributed SQL database for mission-critical applications.
C,https://github.com/moonlight-stream/moonlight-android,"3,553",GameStream client for Android
C,https://github.com/CTCaer/hekate,"6,363",hekate - A GUI based Nintendo Switch Bootloader
C,https://github.com/guanzhi/GmSSL,"4,924",支持国密SM2/SM3/SM4/SM9/SSL的密码工具箱
C,https://github.com/asterisk/asterisk,"2,043",The official Asterisk Project repository.
C,https://github.com/timescale/timescaledb,"16,854",An open-source time-series SQL database optimized for fast ingest and complex queries. Packaged as a PostgreSQL extension.
C,https://github.com/rui314/8cc,"6,104",A Small C Compiler
C,https://github.com/eclipse/mosquitto,"8,642",Eclipse Mosquitto - An open source MQTT broker
C,https://github.com/virtualsquare/vde-2,204,
C,https://github.com/ThrowTheSwitch/Unity,"3,859",Simple Unit Testing for C
C,https://github.com/pgvector/pgvector,"10,512",Open-source vector similarity search for Postgres
C,https://github.com/tianocore/edk2,"4,382",EDK II
C,https://github.com/jart/cosmopolitan,"17,321",build-once run-anywhere c library
C,https://github.com/HandBrake/HandBrake,"16,648",HandBrake's main development repository
C,https://github.com/darktable-org/darktable,"9,104",darktable is an open source photography workflow application and raw developer
C,https://github.com/netdata/netdata,"69,539",The open-source observability platform everyone needs!
C,https://github.com/openssh/openssh-portable,"2,957",Portable OpenSSH
