lang,url,stars,description
C,https://github.com/FreeRTOS/FreeRTOS-Kernel,"2,527","FreeRTOS kernel files only, submoduled intohttps://github.com/FreeRTOS/FreeRTOSand various other repos."
C,https://github.com/qmk/qmk_firmware,"17,604",Open-source keyboard firmware for Atmel AVR and Arm USB families
C,https://github.com/Klipper3d/klipper,"9,074",Klipper is a 3d-printer firmware
C,https://github.com/apache/age,"2,865",Graph database optimized for fast analysis and real-time data processing. It is provided as an extension to PostgreSQL.
C,https://github.com/tmux/tmux,"33,888",tmux source code
C,https://github.com/tursodatabase/libsql,"8,749","libSQL is a fork of SQLite that is both Open Source, and Open Contributions."
C,https://github.com/lz4/lz4,"9,455",Extremely Fast Compression algorithm
C,https://github.com/mattn/go-sqlite3,"7,685",sqlite3 driver for go using database/sql
C,https://github.com/citusdata/citus,"10,151",Distributed PostgreSQL as an extension
C,https://github.com/capstone-engine/capstone,"7,205","Capstone disassembly/disassembler framework for ARM, ARM64 (ARMv8), Alpha, BPF, Ethereum VM, HPPA, LoongArch, M68K, M680X, Mips, MOS65XX, PPC, RISC-V(rv32G/rv64G), SH, Sparc, SystemZ, TMS320C64X, TriCore, Webassembly, XCore and X86."
C,https://github.com/sqlcipher/sqlcipher,"6,046",SQLCipher is a standalone fork of SQLite that adds 256 bit AES encryption of database files and other security features.
C,https://github.com/util-linux/util-linux,"2,579",
C,https://github.com/signalwire/freeswitch,"3,353","FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device."
C,https://github.com/redis/hiredis,"6,167",Minimalistic C client for Redis >= 1.2
C,https://github.com/iNavFlight/inav,"2,998",INAV: Navigation-enabled flight control software
C,https://github.com/wine-mirror/wine,"2,996",
C,https://github.com/xmrig/xmrig,"8,527","RandomX, KawPow, CryptoNight and GhostRider unified CPU/GPU miner and RandomX benchmark"
C,https://github.com/opa334/Dopamine,"3,122",Dopamine is a semi-untethered jailbreak for iOS 15 and 16
C,https://github.com/arendst/Tasmota,"21,769","Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at"
C,https://github.com/OnionUI/Onion,"3,201",OS overhaul for Miyoo Mini and Mini+
C,https://github.com/istoreos/istoreos,"4,445",提供一个人人会用的的路由、NAS系统 （目前活跃的分支是 istoreos-22.03）
C,https://github.com/swaywm/sway,"14,178",i3-compatible Wayland compositor
C,https://github.com/brunodev85/winlator,"7,031",Android application for running Windows applications with Wine and Box86/Box64
C,https://github.com/termux/termux-x11,"1,777",Termux X11 add-on application.
C,https://github.com/AFLplusplus/AFLplusplus,"4,837","The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!"
C,https://github.com/hanwckf/immortalwrt-mt798x,936,
C,https://github.com/uber/h3,"4,725",Hexagonal hierarchical geospatial indexing system
C,https://github.com/nrfconnect/sdk-nrf,880,nRF Connect SDK main repository
C,https://github.com/iovisor/bcc,"19,924","BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more"
C,https://github.com/open62541/open62541,"2,497",Open source implementation of OPC UA (OPC Unified Architecture) aka IEC 62541 licensed under Mozilla Public License v2.0
C,https://github.com/valinet/ExplorerPatcher,"22,846",This project aims to enhance the working environment on Windows
C,https://github.com/olikraus/u8g2,"4,931","U8glib library for monochrome displays, version 2"
C,https://github.com/u-boot/u-boot,"3,779","""Das U-Boot"" Source Tree"
C,https://github.com/google/sanitizers,"11,128","AddressSanitizer, ThreadSanitizer, MemorySanitizer"
C,https://github.com/netdata/netdata,"69,698",The open-source observability platform everyone needs!
C,https://github.com/coolsnowwolf/lede,"29,220",Lean's LEDE source
C,https://github.com/nanomsg/nng,"3,664",nanomsg-next-generation -- light-weight brokerless messaging
C,https://github.com/mpv-player/mpv,"26,866",🎥 Command line video player
C,https://github.com/kamailio/kamailio,"2,200",Kamailio - The Open Source SIP Server for large VoIP and real-time communication platforms -
C,https://github.com/stephane/libmodbus,"3,317","A Modbus library for Linux, Mac OS, FreeBSD and Windows"
C,https://github.com/pgvector/pgvector,"10,656",Open-source vector similarity search for Postgres
C,https://github.com/redcanaryco/atomic-red-team,"9,390",Small and highly portable detection tests based on MITRE's ATT&CK.
C,https://github.com/fluent/fluent-bit,"5,555","Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows"
C,https://github.com/tianocore/edk2,"4,413",EDK II
C,https://github.com/confluentinc/librdkafka,61,The Apache Kafka C/C++ library
C,https://github.com/henrypp/simplewall,"5,802",Simple tool to configure Windows Filtering Platform (WFP) which can configure network activity on your computer.
C,https://github.com/ThrowTheSwitch/Unity,"3,882",Simple Unit Testing for C
C,https://github.com/php/php-src,"37,623",The PHP Interpreter
C,https://github.com/obsproject/obs-studio,"57,709",OBS Studio - Free and open source software for live streaming and screen recording
C,https://github.com/taosdata/TDengine,"23,071","TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps."
C,https://github.com/ArtifexSoftware/mupdf,"1,281",mupdf mirror
C,https://github.com/hathach/tinyusb,"4,713",An open source cross-platform USB stack for embedded system
C,https://github.com/OISF/suricata,"4,305","Suricata is a network Intrusion Detection System, Intrusion Prevention System and Network Security Monitoring engine developed by the OISF and the Suricata community."
C,https://github.com/radareorg/radare2,"20,040",UNIX-like reverse engineering framework and command-line toolset
C,https://github.com/SoftEtherVPN/SoftEtherVPN,"11,329",Cross-platform multi-protocol VPN software. Pull requests are welcome. The stable version is available athttps://github.com/SoftEtherVPN/SoftEtherVPN_Stable.
C,https://github.com/SecWiki/windows-kernel-exploits,"7,946",windows-kernel-exploits Windows平台提权漏洞集合
C,https://github.com/warmcat/libwebsockets,"4,668",canonical libwebsockets.org networking library
C,https://github.com/nanopb/nanopb,"4,196",Protocol Buffers with small code size
C,https://github.com/earlephilhower/arduino-pico,"1,886","Raspberry Pi Pico Arduino core, for all RP2040 boards"
C,https://github.com/HarbourMasters/2ship2harkinian,648,
C,https://github.com/ptitSeb/box64,"3,438","Box64 - Linux Userspace x86_64 Emulator with a twist, targeted at ARM64 Linux devices"
C,https://github.com/redis/redis,"65,713","Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps."
C,https://github.com/ventoy/Ventoy,"60,553",A new bootable USB solution.
C,https://github.com/arthenica/ffmpeg-kit,"4,038","FFmpeg Kit for applications. Supports Android, Flutter, iOS, Linux, macOS, React Native and tvOS. Supersedes MobileFFmpeg, flutter_ffmpeg and react-native-ffmpeg."
C,https://github.com/seL4/seL4,"4,622",The seL4 microkernel
C,https://github.com/axboe/fio,"5,032",Flexible I/O Tester
C,https://github.com/xemu-project/xemu,"2,582","Original Xbox Emulator for Windows, macOS, and Linux (Active Development)"
C,https://github.com/zmkfirmware/zmk,"2,506",ZMK Firmware Repository
C,https://github.com/linux-nvme/nvme-cli,"1,414",NVMe management command line interface.
C,https://github.com/IvorySQL/IvorySQL,806,Open Source Oracle Compatible PostgreSQL.
C,https://github.com/checkpoint-restore/criu,"2,777",Checkpoint/Restore tool
C,https://github.com/ImageMagick/ImageMagick,"11,612",🧙‍♂️ ImageMagick 7
C,https://github.com/openwrt/openwrt,"19,022",This repository is a mirror ofhttps://git.openwrt.org/openwrt/openwrt.gitIt is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
C,https://github.com/zephyrproject-rtos/zephyr,"10,143","Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures."
C,https://github.com/wazuh/wazuh,"9,704",Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.
C,https://github.com/siduck/chadwm,"2,074",Making dwm as beautiful as possible!
C,https://github.com/joncampbell123/dosbox-x,"2,578",DOSBox-X fork of the DOSBox project
C,https://github.com/aws/s2n-tls,"4,464",An implementation of the TLS/SSL protocols
C,https://github.com/esnet/iperf,"6,569","iperf3: A TCP, UDP, and SCTP network bandwidth measurement tool"
C,https://github.com/libsdl-org/SDL,"8,773",Simple Directmedia Layer
