lang,url,stars,description
C,https://github.com/raysan5/raylib,"21,176",A simple and easy-to-use library to enjoy videogames programming
C,https://github.com/screetsec/TheFatRat,"9,235","Thefatrat a massive exploiting tool : Easy tool to generate backdoor and easy tool to post exploitation attack like browser attack and etc . This tool compiles a malware with popular payload and then the compiled malware can be execute on windows, android, mac . The malware that created with this tool also have an ability to bypass most AV softw…"
C,https://github.com/AFLplusplus/AFLplusplus,"4,924","The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!"
C,https://github.com/libbpf/libbpf,"2,095",Automated upstream mirror for libbpf stand-alone build.
C,https://github.com/wolfi-dev/os,778,Main package repository for production Wolfi images
C,https://github.com/open-telemetry/opentelemetry-go-instrumentation,468,OpenTelemetry Auto Instrumentation using eBPF
C,https://github.com/openssh/openssh-portable,"3,028",Portable OpenSSH
C,https://github.com/kingToolbox/WindTerm,"22,332",A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.
C,https://github.com/robertdavidgraham/masscan,"23,181","TCP port scanner, spews SYN packets asynchronously, scanning entire Internet in under 5 minutes."
C,https://github.com/obsproject/obs-studio,"58,401",OBS Studio - Free and open source software for live streaming and screen recording
C,https://github.com/openwall/john,"9,896","John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs"
C,https://github.com/openwrt/openwrt,"19,381",This repository is a mirror ofhttps://git.openwrt.org/openwrt/openwrt.gitIt is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
C,https://github.com/jqlang/jq,"29,965",Command-line JSON processor
C,https://github.com/git/git,"51,581",Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
