lang,url,stars,description
C,https://github.com/vedderb/bldc,"2,118",The VESC motor control firmware
C,https://github.com/OpenVPN/openvpn,"10,400",OpenVPN is an open source VPN daemon
C,https://github.com/NixOS/patchelf,"3,412",A small utility to modify the dynamic linker and RPATH of ELF executables
C,https://github.com/bytecodealliance/wasm-micro-runtime,"4,716",WebAssembly Micro Runtime (WAMR)
C,https://github.com/ThrowTheSwitch/Unity,"3,905",Simple Unit Testing for C
C,https://github.com/open62541/open62541,"2,518",Open source implementation of OPC UA (OPC Unified Architecture) aka IEC 62541 licensed under Mozilla Public License v2.0
C,https://github.com/asg017/sqlite-vec,"2,182",Work-in-progress vector search SQLite extension that runs anywhere.
C,https://github.com/hufrea/byedpi,468,Bypass DPI
C,https://github.com/c3lang/c3c,"2,081",Compiler for the C3 language
C,https://github.com/Genymobile/scrcpy,"106,780",Display and control your Android device
C,https://github.com/coolsnowwolf/lede,"29,307",Lean's LEDE source
C,https://github.com/dayanch96/YTMusicUltimate,"1,003",The best tweak for YouTube Music iOS.
C,https://github.com/openwrt/openwrt,"19,161",This repository is a mirror ofhttps://git.openwrt.org/openwrt/openwrt.gitIt is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
C,https://github.com/pr3y/Bruce,181,"Firmware for m5stack Cardputer, StickC and ESP32"
C,https://github.com/iNavFlight/inav,"3,025",INAV: Navigation-enabled flight control software
C,https://github.com/raysan5/raylib,"20,860",A simple and easy-to-use library to enjoy videogames programming
C,https://github.com/grafana/pyroscope,"9,711",Continuous Profiling Platform. Debug performance issues down to a single line of code
C,https://github.com/tianocore/edk2,"4,438",EDK II
C,https://github.com/coturn/coturn,"10,914",coturn TURN server project
C,https://github.com/cloudwu/skynet,"13,156",A lightweight online game framework
C,https://github.com/lvgl/lvgl,"15,793","Embedded graphics library to create beautiful UIs for any MCU, MPU and display type."
C,https://github.com/allinurl/goaccess,"17,945",GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.
C,https://github.com/sonic-net/sonic-buildimage,706,Scripts which perform an installable binary image build for SONiC
C,https://github.com/basil00/Divert,"2,386",WinDivert: Windows Packet Divert
