lang,url,stars,description
C,https://github.com/wine-mirror/wine,"3,015",
C,https://github.com/timescale/timescaledb,"17,176",An open-source time-series SQL database optimized for fast ingest and complex queries. Packaged as a PostgreSQL extension.
C,https://github.com/termux/termux-x11,"1,855",Termux X11 add-on application.
C,https://github.com/openwrt/openwrt,"19,247",This repository is a mirror ofhttps://git.openwrt.org/openwrt/openwrt.gitIt is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
C,https://github.com/riscv-collab/riscv-gnu-toolchain,"3,336","GNU toolchain for RISC-V, including GCC"
C,https://github.com/mit-pdos/xv6-public,"7,674",xv6 OS
C,https://github.com/FreeRTOS/FreeRTOS,"5,029",'Classic' FreeRTOS distribution. Started as Git clone of FreeRTOS SourceForge SVN repo. Submodules the kernel.
C,https://github.com/iovisor/bcc,"20,061","BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more"
C,https://github.com/skot/ESP-Miner,285,A bitcoin ASIC miner for the ESP32
C,https://github.com/NVIDIA/open-gpu-kernel-modules,"14,906",NVIDIA Linux open GPU kernel module source
C,https://github.com/DarkFlippers/unleashed-firmware,"16,588",Flipper Zero Unleashed Firmware
C,https://github.com/lz4/lz4,"10,099",Extremely Fast Compression algorithm
C,https://github.com/webui-dev/webui,"2,796","Use any web browser or WebView as GUI, with your preferred language in the backend and modern web technologies in the frontend, all in a lightweight portable library."
C,https://github.com/bytecodealliance/wasm-micro-runtime,"4,733",WebAssembly Micro Runtime (WAMR)
C,https://github.com/curl/curl,"35,089","A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
C,https://github.com/ish-app/ish,"16,670",Linux shell for iOS
C,https://github.com/FreeRTOS/FreeRTOS-Kernel,"2,574","FreeRTOS kernel files only, submoduled intohttps://github.com/FreeRTOS/FreeRTOSand various other repos."
C,https://github.com/acidanthera/OpenCorePkg,"13,142",OpenCore bootloader
C,https://github.com/lvgl/lvgl,"15,875","Embedded graphics library to create beautiful UIs for any MCU, MPU and display type."
C,https://github.com/pgvector/pgvector,"11,090",Open-source vector similarity search for Postgres
C,https://github.com/openssl/openssl,"25,156",TLS/SSL and crypto library
C,https://github.com/FreeRDP/FreeRDP,"10,651",FreeRDP is a free remote desktop protocol library and clients
C,https://github.com/brunodev85/winlator,"7,302",Android application for running Windows applications with Wine and Box86/Box64
C,https://github.com/ptitSeb/box64,"3,540","Box64 - Linux Userspace x86_64 Emulator with a twist, targeted at ARM64 Linux devices"
C,https://github.com/ataradov/usb-sniffer-lite,463,A simple USB sniffer based on Raspberry Pi RP2040
C,https://github.com/apache/nuttx,"2,537","Apache NuttX is a mature, real-time embedded operating system (RTOS)"
C,https://github.com/koekeishiya/yabai,"22,661",A tiling window manager for macOS based on binary space partitioning
C,https://github.com/ValdikSS/GoodbyeDPI,"20,461",GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows)
C,https://github.com/floooh/sokol,"6,679",minimal cross-platform standalone C headers
C,https://github.com/git/git,"51,342",Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
C,https://github.com/TsudaKageyu/minhook,"4,194",The Minimalistic x86/x64 API Hooking Library for Windows
C,https://github.com/fairyglade/ly,"5,134",display manager with console UI
C,https://github.com/Dav1dde/glad,"3,684",Multi-Language Vulkan/GL/GLES/EGL/GLX/WGL Loader-Generator based on the official specs.
C,https://github.com/HandBrake/HandBrake,"16,941",HandBrake's main development repository
C,https://github.com/asg017/sqlite-vec,"3,059",A vector search SQLite extension that runs anywhere!
C,https://github.com/c3lang/c3c,"2,275",Compiler for the C3 language
C,https://github.com/AOMediaCodec/libavif,"1,462",libavif - Library for encoding and decoding .avif files
C,https://github.com/henrypp/simplewall,"5,892",Simple tool to configure Windows Filtering Platform (WFP) which can configure network activity on your computer.
C,https://github.com/bol-van/zapret,"4,758",DPI bypass multi platform
C,https://github.com/SanderMertens/flecs,"6,081",A fast entity component system (ECS) for C & C++
C,https://github.com/libevent/libevent,"10,977",Event notification library
C,https://github.com/obsproject/obs-studio,"58,032",OBS Studio - Free and open source software for live streaming and screen recording
C,https://github.com/grafana/pyroscope,"9,760",Continuous Profiling Platform. Debug performance issues down to a single line of code
C,https://github.com/sonic-net/sonic-buildimage,708,Scripts which perform an installable binary image build for SONiC
C,https://github.com/Tencent/wcdb,"10,647",WCDB is a cross-platform database framework developed by WeChat.
C,https://github.com/pr3y/Bruce,196,"Firmware for m5stack Cardputer, StickC and ESP32"
C,https://github.com/madler/zlib,"5,524",A massively spiffy yet delicately unobtrusive compression library.
C,https://github.com/nrfconnect/sdk-zephyr,248,NCS downstream ofhttps://github.com/zephyrproject-rtos/zephyr
C,https://github.com/mattn/go-sqlite3,"7,753",sqlite3 driver for go using database/sql
C,https://github.com/unicorn-engine/unicorn,"7,402","Unicorn CPU emulator framework (ARM, AArch64, M68K, Mips, Sparc, PowerPC, RiscV, S390x, TriCore, X86)"
C,https://github.com/nothings/stb,"26,020",stb single-file public domain libraries for C/C++
C,https://github.com/ThrowTheSwitch/Unity,"3,922",Simple Unit Testing for C
C,https://github.com/darktable-org/darktable,"9,329",darktable is an open source photography workflow application and raw developer
C,https://github.com/UberGuidoZ/Flipper,"13,108",Playground (and dump) of stuff I make or modify for the Flipper Zero
C,https://github.com/valkey-io/valkey,"15,031",A flexible distributed key-value datastore that supports both caching and beyond caching workloads.
C,https://github.com/kokke/tiny-AES-c,"4,170",Small portable AES128/192/256 in C
C,https://github.com/libsdl-org/SDL,"8,948",Simple Directmedia Layer
C,https://github.com/Gnucash/gnucash,"3,272",GnuCash Double-Entry Accounting Program.
C,https://github.com/lizongying/my-tv,"29,313",我的电视 电视直播软件，安装即可使用
C,https://github.com/raspberrypi/pico-sdk,"3,393",
C,https://github.com/google/sanitizers,"11,241","AddressSanitizer, ThreadSanitizer, MemorySanitizer"
C,https://github.com/nginx/njs,927,A subset of JavaScript language to use in nginx
C,https://github.com/immortalwrt/immortalwrt,"5,333",An opensource OpenWrt variant for mainland China users.
C,https://github.com/taosdata/TDengine,"23,125","TDengine is an open source, high-performance, cloud native time-series database optimized for Internet of Things (IoT), Connected Cars, Industrial IoT and DevOps."
C,https://github.com/arthenica/ffmpeg-kit,"4,148","FFmpeg Kit for applications. Supports Android, Flutter, iOS, Linux, macOS, React Native and tvOS. Supersedes MobileFFmpeg, flutter_ffmpeg and react-native-ffmpeg."
C,https://github.com/audacity/audacity,"12,013",Audio Editor
C,https://github.com/qmk/qmk_firmware,"17,838",Open-source keyboard firmware for Atmel AVR and Arm USB families
C,https://github.com/BitMaker-hub/NerdMiner_v2,"1,450",Improved version of first ESP32 NerdMiner
C,https://github.com/Genymobile/scrcpy,"107,173",Display and control your Android device
C,https://github.com/OpenVPN/openvpn,"10,451",OpenVPN is an open source VPN daemon
C,https://github.com/axboe/fio,"5,082",Flexible I/O Tester
C,https://github.com/3proxy/3proxy,"3,755",3proxy - tiny free proxy server
C,https://github.com/civetweb/civetweb,"2,771",Embedded C/C++ web server
C,https://github.com/tianocore/edk2,"4,450",EDK II
C,https://github.com/signalwire/freeswitch,"3,412","FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device."
C,https://github.com/raspberrypi/pico-examples,"2,680",
C,https://github.com/ffmpegwasm/ffmpeg.wasm,"13,824","FFmpeg for browser, powered by WebAssembly"
C,https://github.com/hufrea/byedpi,839,Bypass DPI
C,https://github.com/RT-Thread/rt-thread,"10,151",RT-Thread is an open source IoT real-time operating system (RTOS).
C,https://github.com/redcanaryco/atomic-red-team,"9,451",Small and highly portable detection tests based on MITRE's ATT&CK.
C,https://github.com/openwall/john,"9,809","John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs"
C,https://github.com/capstone-engine/capstone,"7,250","Capstone disassembly/disassembler framework for ARM, ARM64 (ARMv8), Alpha, BPF, Ethereum VM, HPPA, LoongArch, M68K, M680X, Mips, MOS65XX, PPC, RISC-V(rv32G/rv64G), SH, Sparc, SystemZ, TMS320C64X, TriCore, Webassembly, XCore and X86."
