lang,url,stars,description
C,https://github.com/capstone-engine/capstone,"7,329","Capstone disassembly/disassembler framework for ARM, ARM64 (ARMv8), Alpha, BPF, Ethereum VM, HPPA, LoongArch, M68K, M680X, Mips, MOS65XX, PPC, RISC-V(rv32G/rv64G), SH, Sparc, SystemZ, TMS320C64X, TriCore, Webassembly, XCore and X86."
C,https://github.com/Genymobile/scrcpy,"108,392",Display and control your Android device
C,https://github.com/SuperIlu/DOjS,827,A MS-DOS Creative Coding IDE/platform based on JavaScript
C,https://github.com/lizongying/my-tv,"29,523",我的电视 电视直播软件，安装即可使用
C,https://github.com/memcached/memcached,"13,393",memcached development tree
C,https://github.com/madler/zlib,"5,570",A massively spiffy yet delicately unobtrusive compression library.
C,https://github.com/libgit2/libgit2,"9,588","A cross-platform, linkable library implementation of Git that you can use in your application."
C,https://github.com/chrismaltby/gb-studio,"8,418",A quick and easy to use drag and drop retro game creator for your favourite handheld video game system
C,https://github.com/DPDK/dpdk,"3,258",Data Plane Development Kit
C,https://github.com/warmcat/libwebsockets,"4,716",canonical libwebsockets.org networking library
C,https://github.com/linux-rdma/rdma-core,"1,475",RDMA core userspace libraries and daemons
C,https://github.com/kingToolbox/WindTerm,"22,508",A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.
C,https://github.com/greatscottgadgets/hackrf,"6,395",low cost software radio platform
C,https://github.com/hathach/tinyusb,"4,826",An open source cross-platform USB stack for embedded system
C,https://github.com/OpenVPN/openvpn,"10,581",OpenVPN is an open source VPN daemon
C,https://github.com/systemd/systemd,"13,021",The systemd System and Service Manager
C,https://github.com/fluent/fluent-bit,"5,712","Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows"
C,https://github.com/google/security-research,"3,259",This project hosts security advisories and their accompanying proof-of-concepts related to research conducted at Google which impact non-Google owned code.
C,https://github.com/zmkfirmware/zmk,"2,614",ZMK Firmware Repository
C,https://github.com/openssl/openssl,"25,379",TLS/SSL and crypto library
C,https://github.com/brunodev85/winlator,"7,790",Android application for running Windows applications with Wine and Box86/Box64
C,https://github.com/confluentinc/librdkafka,180,The Apache Kafka C/C++ library
C,https://github.com/curl/curl,"35,335","A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
C,https://github.com/swaywm/sway,"14,395",i3-compatible Wayland compositor
C,https://github.com/jart/cosmopolitan,"17,754",build-once run-anywhere c library
C,https://github.com/immortalwrt/immortalwrt,"5,693",An opensource OpenWrt variant for mainland China users.
C,https://github.com/pygame/pygame,"7,314","🐍🎮 pygame (the library) is a Free and Open Source python programming language library for making multimedia applications like games built on top of the excellent SDL library. C, Python, Native, OpenGL."
C,https://github.com/Mbed-TLS/mbedtls,"5,198","An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases."
C,https://github.com/git/git,"51,726",Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
C,https://github.com/openwrt/openwrt,"19,551",This repository is a mirror ofhttps://git.openwrt.org/openwrt/openwrt.gitIt is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.
C,https://github.com/FreeRTOS/FreeRTOS-Kernel,"2,646","FreeRTOS kernel files only, submoduled intohttps://github.com/FreeRTOS/FreeRTOSand various other repos."
C,https://github.com/sumatrapdfreader/sumatrapdf,"13,329",SumatraPDF reader
C,https://github.com/microsoft/mimalloc,"10,347",mimalloc is a compact general purpose allocator with excellent performance.
C,https://github.com/bol-van/zapret,"5,745",DPI bypass multi platform
C,https://github.com/ventoy/Ventoy,"61,597",A new bootable USB solution.
C,https://github.com/chiteroman/PlayIntegrityFix,"4,524",Fix Play Integrity (and SafetyNet) verdicts.
C,https://github.com/UberGuidoZ/Flipper,"13,363",Playground (and dump) of stuff I make or modify for the Flipper Zero
C,https://github.com/mpv-player/mpv,"27,774",🎥 Command line video player
C,https://github.com/hufrea/byedpi,"1,222",Bypass DPI
C,https://github.com/espressif/esp-idf,"13,287",Espressif IoT Development Framework. Official development framework for Espressif SoCs.
C,https://github.com/raspberrypi/pico-examples,"2,770",
C,https://github.com/nginx/nginx,"22,088",The official NGINX Open Source repository.
C,https://github.com/erincatto/box2d,"8,066",Box2D is a 2D physics engine for games
C,https://github.com/raspberrypi/pico-sdk,"3,618",
C,https://github.com/audacity/audacity,"12,179",Audio Editor
C,https://github.com/arendst/Tasmota,"21,938","Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at"
C,https://github.com/fwupd/fwupd,"2,780",A system daemon to allow session software to update firmware
C,https://github.com/cockpit-project/cockpit,"10,933",Cockpit is a web-based graphical interface for servers.
C,https://github.com/cloudwu/skynet,"13,228",A lightweight online game framework
C,https://github.com/portapack-mayhem/mayhem-firmware,"3,233",Custom firmware for the HackRF+PortaPack H1/H2
C,https://github.com/eunomia-bpf/bpf-developer-tutorial,"2,337",eBPF Developer Tutorial: Learning eBPF Step by Step with Examples
C,https://github.com/FreeRDP/FreeRDP,"10,767",FreeRDP is a free remote desktop protocol library and clients
C,https://github.com/libsdl-org/SDL,"9,374",Simple Directmedia Layer
C,https://github.com/ggerganov/whisper.cpp,"34,263",Port of OpenAI's Whisper model in C/C++
C,https://github.com/labwc/labwc,"1,600",A Wayland window-stacking compositor
C,https://github.com/sz3/cfc,181,Demo/test android app for libcimbar. Copy files over the cell phone camera!
C,https://github.com/HansKristian-Work/vkd3d-proton,"1,815",Fork of VKD3D. Development branches for Proton's Direct3D 12 implementation.
C,https://github.com/yugabyte/yugabyte-db,"8,835",YugabyteDB - the cloud native distributed SQL database for mission-critical applications.
C,https://github.com/Flipper-XFW/Xtreme-Firmware,"9,352","The Dom amongst the Flipper Zero Firmware. Give your Flipper the power and freedom it is really craving. Let it show you its true form. Dont delay, switch to the one and only true Master today!"
C,https://github.com/sonic-net/sonic-buildimage,718,Scripts which perform an installable binary image build for SONiC
C,https://github.com/ptitSeb/box64,"3,650","Box64 - Linux Userspace x86_64 Emulator with a twist, targeted at ARM64 Linux devices"
C,https://github.com/sandboxie-plus/Sandboxie,"13,444",Sandboxie Plus & Classic
C,https://github.com/open-quantum-safe/liboqs,"1,762",C library for prototyping and experimenting with quantum-resistant cryptography
C,https://github.com/FRRouting/frr,"3,189",The FRRouting Protocol Suite
C,https://github.com/mit-pdos/xv6-public,"7,726",xv6 OS
C,https://github.com/libvips/libvips,"9,494",A fast image processing library with low memory needs.
C,https://github.com/nanopb/nanopb,"4,254",Protocol Buffers with small code size
C,https://github.com/apache/nuttx,"2,602","Apache NuttX is a mature, real-time embedded operating system (RTOS)"
C,https://github.com/openucx/ucx,"1,110",Unified Communication X (mailing list -https://elist.ornl.gov/mailman/listinfo/ucx-group)
C,https://github.com/bilibili/ijkplayer,"32,399","Android/iOS video player based on FFmpeg n3.4, with MediaCodec, VideoToolbox support."
C,https://github.com/TsudaKageyu/minhook,"4,262",The Minimalistic x86/x64 API Hooking Library for Windows
C,https://github.com/netdata/netdata,"70,325","Architected for speed. Automated for easy. Monitoring and troubleshooting, transformed!"
C,https://github.com/jemalloc/jemalloc,"9,387",
C,https://github.com/redcanaryco/atomic-red-team,"9,535",Small and highly portable detection tests based on MITRE's ATT&CK.
