lang,period,url,stars,description
C#,daily,https://github.com/TGSAN/CMWTAT_Digital_Edition,"14,484","CloudMoe Windows 10/11 Activation Toolkit get digital license, the best open source Win 10/11 activator in GitHub. GitHub 上最棒的开源 Win10/Win11 数字权利（数字许可证）激活工具！"
C#,daily,https://github.com/bbepis/XUnity.AutoTranslator,"1,696",
C#,daily,https://github.com/Klocman/Bulk-Crap-Uninstaller,"10,395",Remove large amounts of unwanted applications quickly.
C#,daily,https://github.com/pizzaboxer/bloxstrap,"1,384",An alternative bootstrapper for Roblox with a bunch of extra features.
C#,weekly,https://github.com/files-community/Files,"32,894",Building the best file manager for Windows
C#,weekly,https://github.com/QuestPDF/QuestPDF,"11,099","QuestPDF is a modern open-source .NET library for PDF document generation. Offering comprehensive layout engine powered by concise and discoverable C# Fluent API. Easily generate PDF reports, invoices, exports, etc."
C#,weekly,https://github.com/Cysharp/UniTask,"7,601",Provides an efficient allocation free async/await integration for Unity.
C#,weekly,https://github.com/bitwarden/server,"14,690","Bitwarden infrastructure/backend (API, database, Docker, etc)."
C#,weekly,https://github.com/marticliment/WingetUI,"10,150",WingetUI: The Graphical Interface for your package managers. Could be terribly described as a package manager manager to manage your package managers
C#,weekly,https://github.com/dotnet/runtime,"14,527",".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps."
C#,weekly,https://github.com/jasontaylordev/CleanArchitecture,"16,086",Clean Architecture Solution Template for ASP.NET Core
C#,weekly,https://github.com/OpenRA/OpenRA,"14,348","Open Source real-time strategy game engine for early Westwood games such as Command & Conquer: Red Alert written in C# using SDL and OpenGL. Runs on Windows, Linux, *BSD and Mac OS X."
C#,weekly,https://github.com/wmjordan/PDFPatcher,"8,845",PDF补丁丁——PDF工具箱，可以编辑书签、剪裁旋转页面、解除限制、提取或合并文档，探查文档结构，提取图片、转成图片等等
C#,weekly,https://github.com/Tyrrrz/YoutubeDownloader,"7,179",Downloads videos and playlists from YouTube
C#,weekly,https://github.com/soulsmods/DSMapStudio,406,"A standalone map/level editor for Demon's Souls, Dark Souls 1/2/3, Bloodborne, Sekiro, and Elden Ring."
C#,weekly,https://github.com/ScottPlot/ScottPlot,"4,846",Interactive plotting library for .NET
