lang,period,url,stars,description
,daily,https://github.com/zed-industries/zed,"36,459","Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter."
,daily,https://github.com/Stability-AI/StableSwarmUI,"3,287","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
,daily,https://github.com/comfyanonymous/ComfyUI,"38,537","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
,daily,https://github.com/godotengine/godot,"85,665",Godot Engine – Multi-platform 2D and 3D game engine
,daily,https://github.com/Anjok07/ultimatevocalremovergui,"15,722",GUI for a Vocal Remover that uses Deep Neural Networks.
,daily,https://github.com/NVIDIA/TensorRT,"9,982",NVIDIA® TensorRT™ is an SDK for high-performance deep learning inference on NVIDIA GPUs. This repository contains the open source components of TensorRT.
,daily,https://github.com/PaperMC/Paper,"9,047","The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies"
,daily,https://github.com/ml-explore/mlx,"15,374",MLX: An array framework for Apple silicon
,daily,https://github.com/ml-explore/mlx-examples,"5,384",Examples in the MLX framework
,daily,https://github.com/iptv-org/iptv,"79,663",Collection of publicly available IPTV channels from all over the world
,daily,https://github.com/mlc-ai/web-llm,"11,339",High-performance In-browser LLM Inference Engine
,daily,https://github.com/odin-lang/Odin,"5,953",Odin Programming Language
,daily,https://github.com/argmaxinc/WhisperKit,"2,687",On-device Inference of Whisper Speech Recognition Models for Apple Silicon
,daily,https://github.com/pymc-devs/pymc,"8,308",Bayesian Modeling and Probabilistic Programming in Python
,daily,https://github.com/NVIDIA/warp,"2,652",A Python framework for high performance GPU simulation and graphics
,daily,https://github.com/maybe-finance/maybe,"27,362",The OS for your personal finances
,daily,https://github.com/fchollet/ARC-AGI,"2,565",The Abstraction and Reasoning Corpus
,weekly,https://github.com/idootop/mi-gpt,"4,817",🏠 将小爱音箱接入 ChatGPT 和豆包，改造成你的专属语音助手。
,weekly,https://github.com/coollabsio/coolify,"24,574",An open-source & self-hostable Heroku / Netlify / Vercel alternative.
,weekly,https://github.com/comfyanonymous/ComfyUI,"38,537","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
,weekly,https://github.com/LazyVim/LazyVim,"14,896",Neovim config for the lazy
,weekly,https://github.com/immich-app/immich,"37,290",High performance self-hosted photo and video management solution.
,weekly,https://github.com/paul-gauthier/aider,"11,764",aider is AI pair programming in your terminal
,weekly,https://github.com/stanfordnlp/dspy,"13,015",DSPy: The framework for programming—not prompting—foundation models
,weekly,https://github.com/xenova/transformers.js,"9,367","State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!"
,weekly,https://github.com/gchq/CyberChef,"26,493","The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis"
,weekly,https://github.com/codecrafters-io/build-your-own-x,"274,453",Master programming by recreating your favorite technologies from scratch.
,weekly,https://github.com/huggingface/lerobot,"4,114",🤗 LeRobot: End-to-end Learning for Real-World Robotics in Pytorch
,weekly,https://github.com/jianchang512/pyvideotrans,"7,163",Translate the video from one language to another and add dubbing. 将视频从一种语言翻译为另一种语言，并添加配音
,weekly,https://github.com/duckdb/duckdb,"19,455",DuckDB is an analytical in-process SQL database management system
,weekly,https://github.com/twentyhq/twenty,"14,570","Building a modern alternative to Salesforce, powered by the community."
,weekly,https://github.com/metavoiceio/metavoice-src,"3,336","Foundational model for human-like, expressive TTS"
,weekly,https://github.com/hcengineering/platform,"4,600","Huly — All-in-One Project Management Platform (alternative to Linear, Jira, Slack, Notion, Motion)"
,weekly,https://github.com/Stability-AI/StableSwarmUI,"3,287","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
,weekly,https://github.com/google/mesop,"2,961",
,monthly,https://github.com/danielmiessler/fabric,"16,388",fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.
,monthly,https://github.com/OpenBMB/MiniCPM-V,"7,255",MiniCPM-Llama3-V 2.5: A GPT-4V Level Multimodal LLM on Your Phone
,monthly,https://github.com/HigherOrderCO/Bend,"16,317","A massively parallel, high-level programming language"
,monthly,https://github.com/LazyVim/LazyVim,"14,895",Neovim config for the lazy
,monthly,https://github.com/iluwatar/java-design-patterns,"87,939",Design patterns implemented in Java
,monthly,https://github.com/coollabsio/coolify,"24,574",An open-source & self-hostable Heroku / Netlify / Vercel alternative.
,monthly,https://github.com/NaiboWang/EasySpider,"27,853",A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。
,monthly,https://github.com/truefoundry/cognita,"2,792","RAG (Retrieval Augmented Generation) Framework for building modular, open source applications for production by TrueFoundry"
,monthly,https://github.com/xenova/transformers.js,"9,367","State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!"
,monthly,https://github.com/HigherOrderCO/HVM,"10,199","A massively parallel, optimal functional runtime in Rust"
,monthly,https://github.com/jianchang512/pyvideotrans,"7,163",Translate the video from one language to another and add dubbing. 将视频从一种语言翻译为另一种语言，并添加配音
,monthly,https://github.com/codecrafters-io/build-your-own-x,"274,453",Master programming by recreating your favorite technologies from scratch.
,monthly,https://github.com/k2-fsa/sherpa-onnx,"1,812","Speech-to-text, text-to-speech, and speaker recognition using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, C/C++, Python, Kotlin, C#, Go, NodeJS, Java, Swift, Dart, JavaScript"
,monthly,https://github.com/nocobase/nocobase,"10,637","NocoBase is a scalability-first, open-source no-code/low-code platform for building business applications and enterprise solutions."
