lang,period,url,stars,description
,daily,https://github.com/zed-industries/zed,"37,259","Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter."
,daily,https://github.com/comfyanonymous/ComfyUI,"38,799","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
,daily,https://github.com/obsproject/obs-studio,"56,601",OBS Studio - Free and open source software for live streaming and screen recording
,daily,https://github.com/iptv-org/iptv,"79,866",Collection of publicly available IPTV channels from all over the world
,daily,https://github.com/ollama/ollama,"73,765","Get up and running with Llama 3, Mistral, Gemma, and other large language models."
,daily,https://github.com/Stability-AI/StableSwarmUI,"3,514","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
,daily,https://github.com/AUTOMATIC1111/stable-diffusion-webui,"133,963",Stable Diffusion web UI
,daily,https://github.com/PaperMC/Paper,"9,126","The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies"
,daily,https://github.com/danny-avila/LibreChat,"12,410","Enhanced ChatGPT Clone: Features OpenAI, Assistants API, Azure, Groq, GPT-4 Vision, Mistral, Bing, Anthropic, OpenRouter, Vertex AI, Gemini, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. More features in development"
,daily,https://github.com/2dust/v2rayN,"63,267","A GUI client for Windows, support Xray core and v2fly core and others"
,daily,https://github.com/coolsnowwolf/lede,"29,020",Lean's LEDE source
,daily,https://github.com/maybe-finance/maybe,"27,633",The OS for your personal finances
,daily,https://github.com/yt-dlp/yt-dlp,"74,627",A feature-rich command-line audio/video downloader
,daily,https://github.com/practical-tutorials/project-based-learning,"177,067",Curated list of project-based tutorials
,daily,https://github.com/pocketbase/pocketbase,"34,874",Open Source realtime backend in 1 file
,daily,https://github.com/Anjok07/ultimatevocalremovergui,"15,890",GUI for a Vocal Remover that uses Deep Neural Networks.
,weekly,https://github.com/EricLBuehler/mistral.rs,"2,583",Blazingly fast LLM inference.
,weekly,https://github.com/idootop/mi-gpt,"4,947",🏠 将小爱音箱接入 ChatGPT 和豆包，改造成你的专属语音助手。
