url,stars,description
https://github.com/LiheYoung/Depth-Anything,"6,306",[CVPR 2024] Depth Anything: Unleashing the Power of Large-Scale Unlabeled Data. Foundation Model for Monocular Depth Estimation
https://github.com/StevenBlack/hosts,"26,058","🔒 Consolidating and extending hosts files from several well-curated sources. Optionally pick extensions for porn, social media, and other categories."
https://github.com/lizongying/my-tv,"28,395",我的电视 电视直播软件，安装即可使用
https://github.com/citusdata/citus,"10,064",Distributed PostgreSQL as an extension
https://github.com/karpathy/llama2.c,"16,689",Inference Llama 2 in one file of pure C
https://github.com/microsoft/Windows-driver-samples,"6,743",This repo contains driver samples prepared for use with Microsoft Visual Studio and the Windows Driver Kit (WDK). It contains both Universal Windows Driver and desktop-only driver samples.
https://github.com/FreeRDP/FreeRDP,"10,488",FreeRDP is a free remote desktop protocol library and clients
https://github.com/ttttupup/wxhelper,"1,887",Hook WeChat / 微信逆向
https://github.com/coturn/coturn,"10,783",coturn TURN server project
https://github.com/open-mpi/ompi,"2,067",Open MPI main development repository
https://github.com/meetecho/janus-gateway,"7,979",Janus WebRTC Server
https://github.com/curl/curl,"34,734","A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
https://github.com/littlefs-project/littlefs,"4,885",A little fail-safe filesystem designed for microcontrollers
https://github.com/memcached/memcached,"13,307",memcached development tree
https://github.com/ImageMagick/ImageMagick,"11,503",🧙‍♂️ ImageMagick 7
https://github.com/libretro/RetroArch,"9,736","Cross-platform, sophisticated frontend for the libretro API. Licensed GPLv3."
https://github.com/open5gs/open5gs,"1,679","Open5GS is a C-language Open Source implementation for 5G Core and EPC, i.e. the core network of LTE/NR network (Release-17)"
https://github.com/danmar/cppcheck,"5,550",static analysis of C/C++ code
https://github.com/pybind/pybind11,"15,064",Seamless operability between C++11 and Python
https://github.com/dail8859/NotepadNext,"8,584","A cross-platform, reimplementation of Notepad++"
https://github.com/ArduPilot/ardupilot,"10,143","ArduPlane, ArduCopter, ArduRover, ArduSub source"
https://github.com/jbeder/yaml-cpp,"4,899",A YAML parser and emitter in C++
https://github.com/google/benchmark,"8,574",A microbenchmark support library
https://github.com/ClickHouse/ClickHouse,"35,290",ClickHouse® is a real-time analytics DBMS
https://github.com/BehaviorTree/BehaviorTree.CPP,"2,787",Behavior Trees Library in C++. Batteries included.
https://github.com/aristocratos/btop,"17,902",A monitor of resources
https://github.com/keepassxreboot/keepassxc,"19,953",KeePassXC is a cross-platform community-driven port of the Windows application “Keepass Password Safe”.
https://github.com/luau-lang/luau,"3,778","A fast, small, safe, gradually typed embeddable scripting language derived from Lua"
https://github.com/esphome/esphome,"7,977",ESPHome is a system to control your ESP8266/ESP32 by simple yet powerful configuration files and control them remotely through Home Automation systems.
https://github.com/tensorflow/tensorflow,"183,785",An Open Source Machine Learning Framework for Everyone
https://github.com/carla-simulator/carla,"10,775",Open-source simulator for autonomous driving research.
https://github.com/facebookresearch/faiss,"29,200",A library for efficient similarity search and clustering of dense vectors.
