lang,period,url,stars,description
all,daily,https://github.com/landing-ai/vision-agent,560,Vision agent
all,daily,https://github.com/hpcaitech/Open-Sora,"18,207",Open-Sora: Democratizing Efficient Video Production for All
all,daily,https://github.com/danny-avila/LibreChat,"12,993","Enhanced ChatGPT Clone: Features OpenAI, Assistants API, Azure, Groq, GPT-4 Vision, Mistral, Bing, Anthropic, OpenRouter, Vertex AI, Gemini, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. More features in development"
all,daily,https://github.com/rustdesk/rustdesk,"66,453","An open-source remote desktop, and alternative to TeamViewer."
all,daily,https://github.com/amplication/amplication,"13,961",🔥🔥🔥 The Only Production-Ready AI-Powered Backend Code Generation
all,daily,https://github.com/open-metadata/OpenMetadata,"4,506","OpenMetadata is a unified platform for discovery, observability, and governance powered by a central metadata repository, in-depth lineage, and seamless team collaboration."
all,daily,https://github.com/pocketbase/pocketbase,"35,218",Open Source realtime backend in 1 file
all,daily,https://github.com/zed-industries/zed,"38,271","Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter."
all,daily,https://github.com/baptisteArno/typebot.io,"5,410",💬 Typebot is a powerful chatbot builder that you can self-host.
all,daily,https://github.com/argilla-io/argilla,"3,260","Argilla is a collaboration platform for AI engineers and domain experts that require high-quality outputs, full data ownership, and overall efficiency."
all,daily,https://github.com/bleedline/aimoneyhunter,"9,996",ai副业赚钱大集合，教你如何利用ai做一些副业项目，赚取更多额外收益。The Ultimate Guide to Making Money with AI Side Hustles: Learn how to leverage AI for some cool side gigs and rake in some extra cash. Check out the English version for more insights.
all,daily,https://github.com/ollama/ollama,"74,319","Get up and running with Llama 3, Mistral, Gemma, and other large language models."
all,daily,https://github.com/langflow-ai/langflow,"19,079","⛓️ Langflow is a visual framework for building multi-agent and RAG applications. It's open-source, Python-powered, fully customizable, model and vector store agnostic."
all,daily,https://github.com/lobehub/lobe-chat,"32,873","🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Bedrock / Azure / Mistral / Perplexity ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application."
all,daily,https://github.com/practical-tutorials/project-based-learning,"177,724",Curated list of project-based tutorials
all,daily,https://github.com/omnivore-app/omnivore,"9,901","Omnivore is a complete, open source read-it-later solution for people who like reading."
all,daily,https://github.com/yangshun/tech-interview-handbook,"113,256",💯 Curated coding interview preparation materials for busy software engineers
all,daily,https://github.com/tencentmusic/supersonic,798,SuperSonic is the next-generation BI platform that integrates Chat BI (powered by LLM) and Headless BI (powered by semantic layer) paradigms.
all,daily,https://github.com/serverless/serverless,"46,178","⚡ Serverless Framework – Use AWS Lambda and other managed cloud services to build apps that auto-scale, cost nothing when idle, and boast radically low maintenance."
all,weekly,https://github.com/comfyanonymous/ComfyUI,"39,281","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
all,weekly,https://github.com/EricLBuehler/mistral.rs,"2,648",Blazingly fast LLM inference.
all,weekly,https://github.com/google/mesop,"3,403",Build delightful web apps quickly in Python
all,weekly,https://github.com/idootop/mi-gpt,"5,201",🏠 将小爱音箱接入 ChatGPT 和豆包，改造成你的专属语音助手。
all,weekly,https://github.com/PaperMC/Paper,"9,245","The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies"
all,weekly,https://github.com/immich-app/immich,"37,616",High performance self-hosted photo and video management solution.
all,weekly,https://github.com/hcengineering/platform,"4,987","Huly — All-in-One Project Management Platform (alternative to Linear, Jira, Slack, Notion, Motion)"
all,weekly,https://github.com/gchq/CyberChef,"26,785","The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis"
all,weekly,https://github.com/twentyhq/twenty,"14,768","Building a modern alternative to Salesforce, powered by the community."
all,weekly,https://github.com/Anjok07/ultimatevocalremovergui,"16,190",GUI for a Vocal Remover that uses Deep Neural Networks.
all,weekly,https://github.com/iptv-org/iptv,"80,199",Collection of publicly available IPTV channels from all over the world
all,weekly,https://github.com/stanfordnlp/dspy,"13,292",DSPy: The framework for programming—not prompting—foundation models
all,weekly,https://github.com/apple/axlearn,"1,492",An Extensible Deep Learning Library
all,weekly,https://github.com/sim0n00ps/OF-DL,534,C# console app to download all of the media from Onlyfans accounts with DRM video downloading support
all,weekly,https://github.com/huggingface/diffusers,"23,610",🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch and FLAX.
all,monthly,https://github.com/danielmiessler/fabric,"16,863",fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.
all,monthly,https://github.com/khoj-ai/khoj,"11,476","Your AI second brain. Get answers to your questions, whether they be online or in your own notes. Use online AI models (e.g gpt4) or private, local LLMs (e.g llama3). Self-host locally or use our cloud instance. Access from Obsidian, Emacs, Desktop app, Web or Whatsapp."
all,monthly,https://github.com/OpenBMB/MiniCPM-V,"7,375",MiniCPM-Llama3-V 2.5: A GPT-4V Level Multimodal LLM on Your Phone
all,monthly,https://github.com/coollabsio/coolify,"24,958",An open-source & self-hostable Heroku / Netlify / Vercel alternative.
all,monthly,https://github.com/LazyVim/LazyVim,"14,978",Neovim config for the lazy
all,monthly,https://github.com/codecrafters-io/build-your-own-x,"275,393",Master programming by recreating your favorite technologies from scratch.
all,monthly,https://github.com/duckdb/duckdb,"19,800",DuckDB is an analytical in-process SQL database management system
all,monthly,https://github.com/xenova/transformers.js,"9,519","State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!"
all,monthly,https://github.com/k2-fsa/sherpa-onnx,"1,933","Speech-to-text, text-to-speech, and speaker recognition using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, C/C++, Python, Kotlin, C#, Go, NodeJS, Java, Swift, Dart, JavaScript"
all,monthly,https://github.com/JanDeDobbeleer/oh-my-posh,"15,402",The most customisable and low-latency cross platform/shell prompt renderer
all,monthly,https://github.com/ente-io/ente,"9,589","Fully open source, End to End Encrypted alternative to Google Photos and Apple Photos"
all,monthly,https://github.com/Stability-AI/StableSwarmUI,"3,726","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
all,monthly,https://github.com/vanna-ai/vanna,"8,396",🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.
python,daily,https://github.com/LLaVA-VL/LLaVA-NeXT,785,
python,daily,https://github.com/TheAlgorithms/Python,"181,476",All Algorithms implemented in Python
python,daily,https://github.com/Azure/azure-sdk-for-python,"4,335",This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs athttps://docs.microsoft.com/python/azure/or our versioned developer docs athttps://azure.github.io/azure-sdk-for-python.
python,daily,https://github.com/pytorch/vision,"15,657","Datasets, Transforms and Models specific to Computer Vision"
python,daily,https://github.com/AUTOMATIC1111/stable-diffusion-webui,"134,218",Stable Diffusion web UI
python,daily,https://github.com/521xueweihan/HelloGitHub,"86,747","分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub."
python,daily,https://github.com/SkalskiP/courses,"4,844",This repository is a curated collection of links to various courses and resources about Artificial Intelligence (AI)
python,daily,https://github.com/deepseek-ai/DeepSeek-Coder,"5,816",DeepSeek Coder: Let the Code Write Itself
python,daily,https://github.com/ultralytics/ultralytics,"25,149",NEW - YOLOv8 🚀 in PyTorch > ONNX > OpenVINO > CoreML > TFLite
python,daily,https://github.com/tensorflow/models,"76,738",Models and examples built with TensorFlow
python,daily,https://github.com/lm-sys/FastChat,"35,329","An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena."
python,daily,https://github.com/hpcaitech/ColossalAI,"38,214","Making large AI models cheaper, faster and more accessible"
python,weekly,https://github.com/tinygrad/tinygrad,"24,828",You like pytorch? You like micrograd? You love tinygrad! ❤️
python,weekly,https://github.com/roboflow/supervision,"16,780",We write your reusable computer vision tools. 💜
python,weekly,https://github.com/huggingface/lerobot,"4,176",🤗 LeRobot: End-to-end Learning for Real-World Robotics in Pytorch
python,monthly,https://github.com/VikParuchuri/marker,"12,971",Convert PDF to markdown quickly with high accuracy
python,monthly,https://github.com/Stability-AI/stable-audio-tools,"2,156",Generative models for conditional audio generation
python,monthly,https://github.com/dataelement/bisheng,"7,874",Bisheng is an open LLM devops platform for next generation AI applications.
python,monthly,https://github.com/fishaudio/fish-speech,"2,403",Brand new TTS solution
python,monthly,https://github.com/pdm-project/pdm,"7,317",A modern Python package and dependency manager supporting the latest PEP standards
python,monthly,https://github.com/psf/requests,"51,664","A simple, yet elegant, HTTP library."
python,monthly,https://github.com/isaac-sim/IsaacLab,"1,407",Unified framework for robot learning built on NVIDIA Isaac Sim
python,monthly,https://github.com/jianchang512/pyvideotrans,"7,299",Translate the video from one language to another and add dubbing. 将视频从一种语言翻译为另一种语言，并添加配音
python,monthly,https://github.com/VikParuchuri/surya,"8,776","OCR, layout analysis, reading order, line detection in 90+ languages"
python,monthly,https://github.com/weaviate/Verba,"4,691",Retrieval Augmented Generation (RAG) chatbot powered by Weaviate
python,monthly,https://github.com/jackfrued/Python-100-Days,"151,810",Python - 100天从新手到大师
C,daily,https://github.com/confluentinc/librdkafka,"7,357",The Apache Kafka C/C++ library
C,daily,https://github.com/coreutils/coreutils,"4,103",upstream mirror
C,daily,https://github.com/netdata/netdata,"69,166",The open-source observability platform everyone needs!
C,daily,https://github.com/fluent/fluent-bit,"5,485","Fast and Lightweight Logs and Metrics processor for Linux, BSD, OSX and Windows"
C,daily,https://github.com/coolsnowwolf/lede,"29,047",Lean's LEDE source
C,daily,https://github.com/openssl/openssl,"24,758",TLS/SSL and crypto library
C,daily,https://github.com/obsproject/obs-studio,"56,913",OBS Studio - Free and open source software for live streaming and screen recording
C,daily,https://github.com/tursodatabase/libsql,"8,446","libSQL is a fork of SQLite that is both Open Source, and Open Contributions."
C,daily,https://github.com/bytecodealliance/wasm-micro-runtime,"4,624",WebAssembly Micro Runtime (WAMR)
C,daily,https://github.com/littlefs-project/littlefs,"4,868",A little fail-safe filesystem designed for microcontrollers
C,daily,https://github.com/libusb/hidapi,"1,522",A Simple cross-platform library for communicating with HID devices
C,daily,https://github.com/nanopb/nanopb,"4,141",Protocol Buffers with small code size
C,daily,https://github.com/curl/curl,"34,671","A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
C,daily,https://github.com/ufrisk/pcileech,"4,492",Direct Memory Access (DMA) Attack Software
C,daily,https://github.com/FelixKratz/SketchyBar,"5,080",A highly customizable macOS status bar replacement
C,daily,https://github.com/espressif/esp-idf,"12,749",Espressif IoT Development Framework. Official development framework for Espressif SoCs.
C,daily,https://github.com/RediSearch/RediSearch,"5,296","A query and indexing engine for Redis, providing secondary indexing, full-text search, vector similarity search and aggregations."
C,daily,https://github.com/madler/zlib,"5,408",A massively spiffy yet delicately unobtrusive compression library.
C,weekly,https://github.com/brunodev85/winlator,"6,372",Android application for running Windows applications with Wine and Box86/Box64
C,weekly,https://github.com/opa334/Dopamine,"2,996",Dopamine is a semi-untethered jailbreak for iOS 15 and 16
C,weekly,https://github.com/Klipper3d/klipper,"8,956",Klipper is a 3d-printer firmware
C,weekly,https://github.com/wazuh/wazuh,"9,552",Wazuh - The Open Source Security Platform. Unified XDR and SIEM protection for endpoints and cloud workloads.
C,weekly,https://github.com/Genymobile/scrcpy,"104,531",Display and control your Android device
C,weekly,https://github.com/raysan5/raylib,"20,163",A simple and easy-to-use library to enjoy videogames programming
C,weekly,https://github.com/pgvector/pgvector,"10,180",Open-source vector similarity search for Postgres
C,weekly,https://github.com/RubyMetric/chsrc,"1,126",chsrc 全平台通用换源工具. Change Source for every software on every platform from the command line.
C,weekly,https://github.com/Mbed-TLS/mbedtls,"5,012","An open source, portable, easy to use, readable and flexible TLS library, and reference implementation of the PSA Cryptography API. Releases are on a varying cadence, typically around 3 - 6 months between releases."
C,weekly,https://github.com/meetecho/janus-gateway,"7,958",Janus WebRTC Server
C,weekly,https://github.com/nrfconnect/sdk-zephyr,239,NCS downstream ofhttps://github.com/zephyrproject-rtos/zephyr
C,weekly,https://github.com/kingToolbox/WindTerm,"21,249",A professional cross-platform SSH/Sftp/Shell/Telnet/Serial terminal.
C,weekly,https://github.com/NVIDIA/cuda-samples,"5,649",Samples for CUDA Developers which demonstrates features in CUDA Toolkit
C,weekly,https://github.com/egzumer/uv-k5-firmware-custom,"1,057",A merge betweenhttps://github.com/OneOfEleven/uv-k5-firmware-customandhttps://github.com/fagci/uv-k5-firmware-fagci-mod
C,weekly,https://github.com/xemu-project/xemu,"2,539","Original Xbox Emulator for Windows, macOS, and Linux (Active Development)"
C,monthly,https://github.com/ventoy/Ventoy,"59,972",A new bootable USB solution.
C,monthly,https://github.com/libretro/RetroArch,"9,700","Cross-platform, sophisticated frontend for the libretro API. Licensed GPLv3."
C,monthly,https://github.com/flipperdevices/flipperzero-firmware,"11,630",Flipper Zero firmware source code
C,monthly,https://github.com/HarbourMasters/Shipwright,"2,962",
