lang,period,url,stars,description
all,daily,https://github.com/danny-avila/LibreChat,"13,311","Enhanced ChatGPT Clone: Features OpenAI, Assistants API, Azure, Groq, GPT-4 Vision, Mistral, Bing, Anthropic, OpenRouter, Vertex AI, Gemini, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. More features in development"
all,daily,https://github.com/hpcaitech/Open-Sora,"18,719",Open-Sora: Democratizing Efficient Video Production for All
all,daily,https://github.com/rustdesk/rustdesk,"66,724","An open-source remote desktop, and alternative to TeamViewer."
all,daily,https://github.com/omnivore-app/omnivore,"10,114","Omnivore is a complete, open source read-it-later solution for people who like reading."
all,daily,https://github.com/tencentmusic/supersonic,956,SuperSonic is the next-generation BI platform that integrates Chat BI (powered by LLM) and Headless BI (powered by semantic layer) paradigms.
all,daily,https://github.com/bleedline/aimoneyhunter,"10,324",ai副业赚钱大集合，教你如何利用ai做一些副业项目，赚取更多额外收益。The Ultimate Guide to Making Money with AI Side Hustles: Learn how to leverage AI for some cool side gigs and rake in some extra cash. Check out the English version for more insights.
all,daily,https://github.com/gunnarmorling/1brc,"5,446",1️⃣🐝🏎️ The One Billion Row Challenge -- A fun exploration of how quickly 1B rows from a text file can be aggregated with Java
all,daily,https://github.com/practical-tutorials/project-based-learning,"177,970",Curated list of project-based tutorials
all,daily,https://github.com/1Panel-dev/MaxKB,"7,273",🚀 基于 LLM 大语言模型的知识库问答系统。开箱即用，支持快速嵌入到第三方业务系统，1Panel 官方出品。
all,daily,https://github.com/tensorflow/tensorflow,"183,532",An Open Source Machine Learning Framework for Everyone
all,daily,https://github.com/pytorch/pytorch,"79,580",Tensors and Dynamic neural networks in Python with strong GPU acceleration
all,daily,https://github.com/amplication/amplication,"14,186",🔥🔥🔥 The Only Production-Ready AI-Powered Backend Code Generation
all,daily,https://github.com/PowerShell/PowerShell,"43,801",PowerShell for every system!
all,daily,https://github.com/ckeditor/ckeditor5,"8,415","Powerful rich text editor framework with a modular architecture, modern integrations, and features like collaborative editing."
all,weekly,https://github.com/comfyanonymous/ComfyUI,"39,415","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
all,weekly,https://github.com/zed-industries/zed,"38,423","Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter."
all,weekly,https://github.com/PaperMC/Paper,"9,259","The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies"
all,weekly,https://github.com/EricLBuehler/mistral.rs,"2,677",Blazingly fast LLM inference.
all,weekly,https://github.com/hcengineering/platform,"5,037","Huly — All-in-One Project Management Platform (alternative to Linear, Jira, Slack, Notion, Motion)"
all,weekly,https://github.com/idootop/mi-gpt,"5,289",🏠 将小爱音箱接入 ChatGPT 和豆包，改造成你的专属语音助手。
all,weekly,https://github.com/twentyhq/twenty,"14,813","Building a modern alternative to Salesforce, powered by the community."
all,weekly,https://github.com/apple/axlearn,"1,513",An Extensible Deep Learning Library
all,weekly,https://github.com/Anjok07/ultimatevocalremovergui,"16,227",GUI for a Vocal Remover that uses Deep Neural Networks.
all,weekly,https://github.com/immich-app/immich,"37,694",High performance self-hosted photo and video management solution.
all,weekly,https://github.com/gchq/CyberChef,"26,826","The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis"
all,weekly,https://github.com/labmlai/annotated_deep_learning_paper_implementations,"50,346","🧑‍🏫 60 Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
all,weekly,https://github.com/maybe-finance/maybe,"28,138",The OS for your personal finances
all,weekly,https://github.com/ltdrdata/ComfyUI-Manager,"4,359","ComfyUI-Manager is an extension designed to enhance the usability of ComfyUI. It offers management functions to install, remove, disable, and enable various custom nodes of ComfyUI. Furthermore, this extension provides a hub feature and convenience functions to access a wide range of information within ComfyUI."
all,weekly,https://github.com/iptv-org/iptv,"80,258",Collection of publicly available IPTV channels from all over the world
all,weekly,https://github.com/Stability-AI/StableSwarmUI,"3,767","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
