lang,period,url,stars,description
all,daily,https://github.com/microsoft/semantic-kernel,"19,511",Integrate cutting-edge LLM technology quickly and easily into your apps
all,daily,https://github.com/Asabeneh/30-Days-Of-Python,"33,659","30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace. These videos may help too:https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
all,daily,https://github.com/ChrisTitusTech/winutil,"15,368","Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates"
all,daily,https://github.com/cuixueshe/earthworm,"3,857",Learning English through the method of constructing sentences with conjunctions
all,daily,https://github.com/microsoft/generative-ai-for-beginners,"48,949","18 Lessons, Get Started Building with Generative AI 🔗https://microsoft.github.io/generative-ai-for-beginners/"
all,daily,https://github.com/shadcn-ui/ui,"62,447",Beautifully designed components that you can copy and paste into your apps. Accessible. Customizable. Open Source.
all,daily,https://github.com/snipe/snipe-it,"10,201",A free open source IT asset/license management system
all,daily,https://github.com/BlackINT3/OpenArk,"8,031",The Next Generation of Anti-Rookit(ARK) tool for Windows.
all,daily,https://github.com/pointfreeco/swift-composable-architecture,"11,822","A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind."
all,daily,https://github.com/astral-sh/uv,"13,059","An extremely fast Python package installer and resolver, written in Rust."
all,daily,https://github.com/YimMenu/YimMenu,"1,157","YimMenu, a GTA V menu protecting against a wide ranges of the public crashes and improving the overall experience."
all,daily,https://github.com/modelscope/DiffSynth-Studio,"4,985",Enjoy the magic of Diffusion models!
all,daily,https://github.com/snakers4/silero-vad,"3,194",Silero VAD: pre-trained enterprise-grade Voice Activity Detector
all,daily,https://github.com/microsoft/sample-app-aoai-chatGPT,"1,375","Sample code for a simple web chat experience through Azure OpenAI, including Azure OpenAI On Your Data."
all,daily,https://github.com/VinciGit00/Scrapegraph-ai,"12,426",Python scraper based on AI
all,daily,https://github.com/ray-project/kuberay,925,A toolkit to run Ray applications on Kubernetes
all,daily,https://github.com/harry0703/MoneyPrinterTurbo,"14,190",利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.
all,daily,https://github.com/nlohmann/json,"41,164",JSON for Modern C++
