lang,period,url,stars,description
,daily,https://github.com/danny-avila/LibreChat,"12,565","Enhanced ChatGPT Clone: Features OpenAI, Assistants API, Azure, Groq, GPT-4 Vision, Mistral, Bing, Anthropic, OpenRouter, Vertex AI, Gemini, AI model switching, message search, langchain, DALL-E-3, ChatGPT Plugins, OpenAI Functions, Secure Multi-User System, Presets, completely open-source for self-hosting. More features in development"
,daily,https://github.com/NVIDIA/warp,"2,998",A Python framework for high performance GPU simulation and graphics
,daily,https://github.com/zed-industries/zed,"38,079","Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter."
,daily,https://github.com/rustdesk/rustdesk,"66,112","An open-source remote desktop, and alternative to TeamViewer."
,daily,https://github.com/lobehub/lobe-chat,"32,641","🤯 Lobe Chat - an open-source, modern-design LLMs/AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Bedrock / Azure / Mistral / Perplexity ), Multi-Modals (Vision/TTS) and plugin system. One-click FREE deployment of your private ChatGPT chat application."
,daily,https://github.com/amplication/amplication,"13,615",🔥🔥🔥 Open-source backend development platform. Build production-ready services without wasting time on repetitive coding.
,daily,https://github.com/practical-tutorials/project-based-learning,"177,370",Curated list of project-based tutorials
,daily,https://github.com/maybe-finance/maybe,"27,851",The OS for your personal finances
,daily,https://github.com/grpc/grpc-go,"20,089",The Go language implementation of gRPC. HTTP/2 based RPC
,daily,https://github.com/projectdiscovery/katana,"9,004",A next-generation crawling and spidering framework.
,daily,https://github.com/omnivore-app/omnivore,"9,572","Omnivore is a complete, open source read-it-later solution for people who like reading."
,daily,https://github.com/netdata/netdata,"68,818",The open-source observability platform everyone needs!
,daily,https://github.com/gin-gonic/gin,"76,333","Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin."
,daily,https://github.com/vanna-ai/vanna,"8,064",🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.
,daily,https://github.com/Anjok07/ultimatevocalremovergui,"16,068",GUI for a Vocal Remover that uses Deep Neural Networks.
,daily,https://github.com/datawhalechina/leedl-tutorial,"10,503",《李宏毅深度学习教程》（李宏毅老师推荐👍），PDF下载地址：https://github.com/datawhalechina/leedl-tutorial/releases
,daily,https://github.com/bleedline/aimoneyhunter,"9,452",ai副业赚钱大集合，教你如何利用ai做一些副业项目，赚取更多额外收益。The Ultimate Guide to Making Money with AI Side Hustles: Learn how to leverage AI for some cool side gigs and rake in some extra cash. Check out the English version for more insights.
,daily,https://github.com/kubernetes/autoscaler,"7,713",Autoscaling components for Kubernetes
,weekly,https://github.com/comfyanonymous/ComfyUI,"39,084","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
,weekly,https://github.com/EricLBuehler/mistral.rs,"2,614",Blazingly fast LLM inference.
,weekly,https://github.com/immich-app/immich,"37,486",High performance self-hosted photo and video management solution.
,weekly,https://github.com/PaperMC/Paper,"9,214","The most widely used, high performance Minecraft server that aims to fix gameplay and mechanics inconsistencies"
,weekly,https://github.com/gchq/CyberChef,"26,698","The Cyber Swiss Army Knife - a web app for encryption, encoding, compression and data analysis"
,weekly,https://github.com/stanfordnlp/dspy,"13,211",DSPy: The framework for programming—not prompting—foundation models
,weekly,https://github.com/LazyVim/LazyVim,"14,940",Neovim config for the lazy
,weekly,https://github.com/twentyhq/twenty,"14,703","Building a modern alternative to Salesforce, powered by the community."
,weekly,https://github.com/iptv-org/iptv,"80,122",Collection of publicly available IPTV channels from all over the world
,weekly,https://github.com/paul-gauthier/aider,"11,911",aider is AI pair programming in your terminal
,weekly,https://github.com/JanDeDobbeleer/oh-my-posh,"15,359",The most customisable and low-latency cross platform/shell prompt renderer
,weekly,https://github.com/gorilla/websocket,"21,523","Package gorilla/websocket is a fast, well-tested and widely used WebSocket implementation for Go."
,weekly,https://github.com/codecrafters-io/build-your-own-x,"275,006",Master programming by recreating your favorite technologies from scratch.
,weekly,https://github.com/huggingface/lerobot,"4,149",🤗 LeRobot: End-to-end Learning for Real-World Robotics in Pytorch
,monthly,https://github.com/danielmiessler/fabric,"16,676",fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.
,monthly,https://github.com/OpenBMB/MiniCPM-V,"7,335",MiniCPM-Llama3-V 2.5: A GPT-4V Level Multimodal LLM on Your Phone
,monthly,https://github.com/coollabsio/coolify,"24,803",An open-source & self-hostable Heroku / Netlify / Vercel alternative.
,monthly,https://github.com/iluwatar/java-design-patterns,"88,011",Design patterns implemented in Java
,monthly,https://github.com/duckdb/duckdb,"19,685",DuckDB is an analytical in-process SQL database management system
,monthly,https://github.com/xenova/transformers.js,"9,479","State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!"
,monthly,https://github.com/k2-fsa/sherpa-onnx,"1,897","Speech-to-text, text-to-speech, and speaker recognition using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, C/C++, Python, Kotlin, C#, Go, NodeJS, Java, Swift, Dart, JavaScript"
,monthly,https://github.com/ente-io/ente,"9,549","Fully open source, End to End Encrypted alternative to Google Photos and Apple Photos"
,monthly,https://github.com/Stability-AI/StableSwarmUI,"3,675","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
,monthly,https://github.com/VikParuchuri/marker,"12,871",Convert PDF to markdown quickly with high accuracy
,monthly,https://github.com/mlc-ai/web-llm,"11,463",High-performance In-browser LLM Inference Engine
python,daily,https://github.com/PaddlePaddle/PaddleOCR,"39,836","Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices)"
python,daily,https://github.com/AUTOMATIC1111/stable-diffusion-webui,"134,122",Stable Diffusion web UI
python,daily,https://github.com/microsoft/qlib,"14,450","Qlib is an AI-oriented quantitative investment platform that aims to realize the potential, empower research, and create value using AI technologies in quantitative investment, from exploring ideas to implementing productions. Qlib supports diverse machine learning modeling paradigms. including supervised learning, market dynamics modeling, and RL."
python,daily,https://github.com/Lightning-AI/pytorch-lightning,"27,308","Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes."
python,daily,https://github.com/TomSchimansky/CustomTkinter,"10,612",A modern and customizable python UI-library based on Tkinter
python,daily,https://github.com/truefoundry/cognita,"2,863","RAG (Retrieval Augmented Generation) Framework for building modular, open source applications for production by TrueFoundry"
python,daily,https://github.com/microsoft/DeepSpeed,"33,427","DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective."
python,daily,https://github.com/google-research/bert,"37,318",TensorFlow code and pre-trained models for BERT
python,weekly,https://github.com/google/mesop,"3,220",Build delightful web apps quickly in Python
python,weekly,https://github.com/3b1b/manim,"59,966",Animation engine for explanatory math videos
python,weekly,https://github.com/karpathy/nanoGPT,"33,934","The simplest, fastest repository for training/finetuning medium-sized GPTs."
python,weekly,https://github.com/roboflow/supervision,"16,671",We write your reusable computer vision tools. 💜
python,weekly,https://github.com/jianchang512/pyvideotrans,"7,270",Translate the video from one language to another and add dubbing. 将视频从一种语言翻译为另一种语言，并添加配音
python,weekly,https://github.com/litestar-org/litestar,"4,978","Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs"
python,weekly,https://github.com/blakeblackshear/frigate,"15,712",NVR with realtime local object detection for IP cameras
python,weekly,https://github.com/dortania/OpenCore-Legacy-Patcher,"11,406",Experience macOS just like before
python,monthly,https://github.com/dataelement/bisheng,"7,852",Bisheng is an open LLM devops platform for next generation AI applications.
python,monthly,https://github.com/Stability-AI/stable-audio-tools,"2,145",Generative models for conditional audio generation
python,monthly,https://github.com/fishaudio/fish-speech,"2,385",Brand new TTS solution
python,monthly,https://github.com/LLaVA-VL/LLaVA-NeXT,770,
python,monthly,https://github.com/khoj-ai/khoj,"11,440","Your AI second brain. Get answers to your questions, whether they be online or in your own notes. Use online AI models (e.g gpt4) or private, local LLMs (e.g llama3). Self-host locally or use our cloud instance. Access from Obsidian, Emacs, Desktop app, Web or Whatsapp."
python,monthly,https://github.com/pdm-project/pdm,"7,299",A modern Python package and dependency manager supporting the latest PEP standards
python,monthly,https://github.com/isaac-sim/IsaacLab,"1,397",Unified framework for robot learning built on NVIDIA Isaac Sim
python,monthly,https://github.com/weaviate/Verba,"4,677",Retrieval Augmented Generation (RAG) chatbot powered by Weaviate
python,monthly,https://github.com/VikParuchuri/surya,"8,749","OCR, layout analysis, reading order, line detection in 90+ languages"
python,monthly,https://github.com/OpenGVLab/InternVL,"3,587",[CVPR 2024 Oral] InternVL Family: A Pioneering Open-Source Alternative to GPT-4V. 接近GPT-4V表现的可商用开源多模态对话模型
