lang,period,url,stars,description
all,daily,https://github.com/microsoft/generative-ai-for-beginners,"53,800","18 Lessons, Get Started Building with Generative AI 🔗https://microsoft.github.io/generative-ai-for-beginners/"
all,daily,https://github.com/goldmansachs/gs-quant,"5,741",Python toolkit for quantitative finance
all,daily,https://github.com/projectdiscovery/nuclei-templates,"8,479",Community curated list of templates for the nuclei engine to find security vulnerabilities.
all,daily,https://github.com/maybe-finance/maybe,"28,368",The OS for your personal finances
all,daily,https://github.com/SerenityOS/serenity,"29,418",The Serenity Operating System 🐞
all,daily,https://github.com/BLAKE3-team/BLAKE3,"4,716",the official Rust and C implementations of the BLAKE3 cryptographic hash function
all,daily,https://github.com/folke/tokyonight.nvim,"5,740","🏙 A clean, dark Neovim theme written in Lua, with support for lsp, treesitter and lots of plugins. Includes additional themes for Kitty, Alacritty, iTerm and Fish."
all,daily,https://github.com/NaiboWang/EasySpider,"28,754",A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。
all,daily,https://github.com/pedroslopez/whatsapp-web.js,"14,413",A WhatsApp client library for NodeJS that connects through the WhatsApp Web browser app
all,daily,https://github.com/Asabeneh/30-Days-Of-Python,"36,526","30 days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than100 days, follow your own pace. These videos may help too:https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw"
all,daily,https://github.com/jackfrued/Python-100-Days,"152,264",Python - 100天从新手到大师
all,daily,https://github.com/fishaudio/fish-speech,"3,089",Brand new TTS solution
all,daily,https://github.com/jeremylong/DependencyCheck,"6,036",OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies.
all,daily,https://github.com/ydb-platform/ydb,"3,520",YDB is an open source Distributed SQL Database that combines high availability and scalability with strong consistency and ACID transactions
all,weekly,https://github.com/WerWolv/ImHex,"39,576","🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM."
all,weekly,https://github.com/modelscope/DiffSynth-Studio,"5,470",Enjoy the magic of Diffusion models!
all,weekly,https://github.com/Doriandarko/maestro,"3,479",A framework for Claude Opus to intelligently orchestrate subagents.
all,weekly,https://github.com/niedev/RTranslator,"5,202",Open source real-time translation app for Android that runs locally
all,weekly,https://github.com/snipe/snipe-it,"10,326",A free open source IT asset/license management system
all,weekly,https://github.com/microsoft/semantic-kernel,"20,361",Integrate cutting-edge LLM technology quickly and easily into your apps
all,weekly,https://github.com/EbookFoundation/free-programming-books,"325,697",📚 Freely available programming books
all,weekly,https://github.com/sxyazi/yazi,"11,595","💥 Blazing fast terminal file manager written in Rust, based on async I/O."
all,weekly,https://github.com/ZuodaoTech/everyone-can-use-english,"21,262",人人都能用英语
all,weekly,https://github.com/ChrisTitusTech/winutil,"15,986","Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates"
all,weekly,https://github.com/mehdihadeli/awesome-software-architecture,"6,957","🚀 A curated list of awesome articles, videos, and other resources to learn and practice software architecture, patterns, and principles."
all,monthly,https://github.com/codecrafters-io/build-your-own-x,"281,448",Master programming by recreating your favorite technologies from scratch.
all,monthly,https://github.com/coollabsio/coolify,"26,106",An open-source & self-hostable Heroku / Netlify / Vercel alternative.
all,monthly,https://github.com/comfyanonymous/ComfyUI,"40,954","The most powerful and modular stable diffusion GUI, api and backend with a graph/nodes interface."
all,monthly,https://github.com/danielmiessler/fabric,"18,089",fabric is an open-source framework for augmenting humans using AI. It provides a modular framework for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.
all,monthly,https://github.com/Stability-AI/StableSwarmUI,"4,084","StableSwarmUI, A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility."
all,monthly,https://github.com/Anduin2017/HowToCook,"63,425",程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).
all,monthly,https://github.com/xenova/transformers.js,"9,911","State-of-the-art Machine Learning for the web. Run 🤗 Transformers directly in your browser, with no need for a server!"
all,monthly,https://github.com/k2-fsa/sherpa-onnx,"2,342","Speech-to-text, text-to-speech, and speaker recognition using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, C/C++, Python, Kotlin, C#, Go, NodeJS, Java, Swift, Dart, JavaScript, Flutter"
all,monthly,https://github.com/hpcaitech/Open-Sora,"20,130",Open-Sora: Democratizing Efficient Video Production for All
all,monthly,https://github.com/duckdb/duckdb,"20,541",DuckDB is an analytical in-process SQL database management system
all,monthly,https://github.com/omnivore-app/omnivore,"11,258","Omnivore is a complete, open source read-it-later solution for people who like reading."
all,monthly,https://github.com/jianchang512/pyvideotrans,"7,764",Translate the video from one language to another and add dubbing. 将视频从一种语言翻译为另一种语言，并添加配音
all,monthly,https://github.com/JanDeDobbeleer/oh-my-posh,"15,785",The most customisable and low-latency cross platform/shell prompt renderer
all,monthly,https://github.com/LazyVim/LazyVim,"15,297",Neovim config for the lazy
all,monthly,https://github.com/livekit/livekit,"8,914",End-to-end stack for WebRTC. SFU media server and SDKs.
python,daily,https://github.com/huggingface/accelerate,"7,316","🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support"
